,Swing Type,MinWX,MaxWX,MinWY,MaxWY,MinWZ,MaxWZ,MinAX,MaxAX,MinAY,MaxAY,MinAZ,MaxAZ
0,0,-1993.8354,1782.2876,-1988.3423,1997.8027,-1998.6572,1727.478,-15.4966,15.5308,-15.9751,0.9565,-15.2559,15.6763
1,0,-1993.8965,1864.6851,-1590.5762,1997.8027,-1998.6572,1260.7422,-15.7915,15.4531,-15.9741,1.0322,-14.8813,15.9312
2,0,-1995.3003,1882.6904,-1861.6943,1997.6807,-1998.9014,1934.2041,-14.917,15.5347,-15.998,0.8257,-15.7295,14.6772
3,0,-1993.8354,1995.5444,-1807.4341,1997.8027,-1998.6572,1868.2861,-15.0664,15.6436,-15.9834,1.0254,-15.9497,14.252
4,0,-1993.8965,1900.3296,-1662.7808,1997.8027,-1998.6572,1230.2246,-13.9087,15.9482,-15.9849,0.7603,-15.3906,14.7334
5,0,-1996.9482,1790.1611,-1474.3042,1997.6807,-1998.9014,1705.2002,-15.9028,15.2754,-15.9937,0.6362,-15.3794,15.7651
6,0,-1995.2393,1951.6602,-1574.0967,1997.6807,-1998.9014,1788.8184,-15.5718,15.3628,-15.9946,2.3848,-15.9189,13.895
7,0,-1995.2393,1770.9961,-1469.7876,1997.6807,-1998.9014,1211.3647,-15.7007,15.3286,-15.9897,0.7979,-15.061,15.8667
8,0,-1995.2393,1874.2065,-1653.4424,1997.6807,-1998.9014,1982.9102,-14.8613,15.5493,-15.9961,0.7637,-15.9141,15.8569
9,0,-1995.2393,1894.8975,-1332.1533,1997.6807,-1998.9014,1219.2383,-15.0581,15.5298,-15.998,0.7593,-15.4111,15.8877
10,0,-1995.2393,1972.5952,-1472.7783,1997.6807,-1998.9014,1645.2026,-14.4644,15.6538,-15.9932,0.9248,-15.6016,14.9204
11,0,-1995.2393,1885.1318,-1819.458,1997.6807,-1998.9014,1855.835,-15.6221,15.3496,-15.9971,0.8086,-15.6357,14.8057
