address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:38:49.104,-1.1377,0.5547,0.0938,0.4883,11.7798,-18.4326,94.6033,61.0291,179.9945,41.82 
0x50, 11:38:49.127,-1.1572,0.5679,0.0923,1.0986,10.7422,-20.0806,94.6967,61.2433,179.9945,41.82 
0x50, 11:38:49.127,-1.1606,0.5747,0.0854,1.4648,9.2773,-17.4561,94.7736,61.4301,179.9945,41.82 
0x50, 11:38:49.150,-1.1597,0.5771,0.0835,1.5259,7.5684,-13.5498,94.8175,61.5784,179.9945,41.82 
0x50, 11:38:49.200,-1.1519,0.5815,0.0820,1.5259,6.1646,-9.8267,94.8285,61.6827,179.9945,41.83 
0x50, 11:38:49.200,-1.1372,0.5859,0.0811,1.3428,4.9438,-5.3101,94.8175,61.7377,179.9945,41.81 
0x50, 11:38:49.200,-1.1172,0.5840,0.0854,0.9766,3.8452,0.2441,94.7626,61.7377,179.9945,41.80 
0x50, 11:38:49.200,-1.0981,0.5815,0.0791,0.7324,3.1738,3.7842,94.6967,61.6992,179.9945,41.82 
0x50, 11:38:49.200,-1.0977,0.5796,0.0645,0.6714,2.9297,2.5024,94.6472,61.6772,179.9945,41.82 
0x50, 11:38:49.204,-1.1035,0.5747,0.0474,0.6714,3.0518,-2.7466,94.6198,61.7102,179.9945,41.83 
0x50, 11:38:49.208,-1.1182,0.5811,0.0371,0.9155,3.2349,-8.4839,94.6143,61.7981,179.9945,41.83 
0x50, 11:38:49.235,-1.1284,0.5903,0.0317,1.0986,3.1738,-11.0474,94.6252,61.9080,179.9945,41.81 
0x50, 11:38:49.255,-1.1230,0.5957,0.0327,1.2207,2.9907,-9.5215,94.6307,62.0013,179.9945,41.81 
0x50, 11:38:49.265,-1.1152,0.5972,0.0254,1.4038,2.7466,-5.6763,94.6307,62.0563,179.9945,41.80 
0x50, 11:38:49.267,-1.1143,0.5850,0.0220,1.5259,2.6855,-2.9907,94.6307,62.0837,179.9945,41.80 
0x50, 11:38:49.269,-1.1157,0.5845,0.0254,1.7700,2.8687,-2.9297,94.6362,62.1167,179.9945,41.81 
0x50, 11:38:49.272,-1.1060,0.5742,0.0225,2.1973,3.0518,-3.1738,94.6527,62.1497,179.9945,41.81 
0x50, 11:38:49.276,-1.0972,0.5620,0.0225,2.3193,3.1738,-1.5869,94.6692,62.1661,179.9945,41.81 
0x50, 11:38:49.299,-1.0908,0.5527,0.0283,2.5635,3.4790,0.1831,94.6802,62.1716,179.9945,41.81 
0x50, 11:38:49.306,-1.0845,0.5562,0.0313,3.0518,3.7842,-0.7935,94.7021,62.1826,179.9945,41.82 
0x50, 11:38:49.309,-1.0938,0.5645,0.0366,3.3569,4.3945,-4.4556,94.7406,62.2321,179.9945,41.81 
0x50, 11:38:49.324,-1.1030,0.5771,0.0381,3.4790,4.6997,-8.3008,94.7955,62.3090,179.9945,41.80 
0x50, 11:38:49.327,-1.1172,0.5952,0.0337,3.2959,4.8828,-9.7656,94.8505,62.3969,179.9945,41.80 
0x50, 11:38:49.350,-1.1343,0.6011,0.0347,2.9907,4.9438,-7.8125,94.9054,62.4683,179.9945,41.80 
0x50, 11:38:49.352,-1.1260,0.5898,0.0293,2.3193,4.5776,-3.5400,94.9438,62.4957,179.9945,41.81 
0x50, 11:38:49.354,-1.1357,0.5791,0.0366,1.7090,4.5166,0.0000,94.9603,62.4957,179.9945,41.80 
0x50, 11:38:49.374,-1.1216,0.5688,0.0381,1.3428,4.4556,1.3428,94.9658,62.4847,179.9945,41.81 
0x50, 11:38:49.377,-1.1099,0.5649,0.0366,1.0376,4.3945,2.0752,94.9713,62.4683,179.9945,41.82 
0x50, 11:38:49.437,-1.1030,0.5596,0.0356,0.6714,4.2725,3.4180,94.9658,62.4353,179.9945,41.83 
0x50, 11:38:49.437,-1.1021,0.5566,0.0288,0.3662,4.3335,3.5400,94.9658,62.4078,179.9945,41.82 
0x50, 11:38:49.437,-1.1040,0.5566,0.0303,0.2441,4.2725,1.0986,94.9658,62.3969,179.9945,41.81 
0x50, 11:38:49.437,-1.1108,0.5674,0.0244,0.2441,4.2725,-2.4414,94.9823,62.4243,179.9945,41.82 
0x50, 11:38:49.437,-1.1099,0.5654,0.0181,0.0000,4.0894,-4.0894,94.9988,62.4683,179.9945,41.82 
0x50, 11:38:49.450,-1.1060,0.5679,0.0239,-0.2441,3.8452,-2.2583,94.9988,62.4902,179.9945,41.82 
