address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:23:03.835,-0.8096,0.9854,-0.3066,-71.5332,102.7832,-24.5972,37.0789,46.4063,179.9945,47.88
0x50, 16:23:03.846,-0.9038,1.0386,-0.4565,-91.0034,121.521,-18.1274,37.5568,47.395,179.9945,47.88
0x50, 16:23:03.901,-0.9536,1.0996,-0.5083,-114.2578,142.2729,-9.8877,37.2711,48.5815,179.9945,47.87
0x50, 16:23:03.901,-0.8989,1.147,-0.5386,-140.2588,165.0391,2.1973,37.0239,49.8834,179.9945,47.88
0x50, 16:23:03.902,-0.8311,1.1211,-0.4434,-170.3491,193.5425,16.0522,36.8536,51.3336,179.9945,47.89
0x50, 16:23:03.902,-0.6392,1.0801,-0.2876,-201.9043,225.1587,22.0337,36.7438,53.0035,179.9945,47.89
0x50, 16:23:03.903,-0.5234,1.0342,-0.1313,-233.4595,261.5967,11.5967,36.6119,55.0305,179.9945,47.9
0x50, 16:23:03.914,-0.4429,0.9556,0.0771,-265.7471,300.9033,-12.5122,36.3757,57.5189,179.9945,47.9
0x50, 16:23:03.915,-0.3745,0.8799,0.3008,-298.2788,340.332,-34.4238,36.1285,60.4633,179.9945,47.88
0x50, 16:23:03.915,-0.3398,0.7861,0.5142,-329.834,377.3804,-40.5273,36.1835,63.7482,179.9945,47.9
0x50, 16:23:03.935,-0.3213,0.6924,0.7324,-358.5815,411.8652,-33.7524,36.9745,67.2748,179.9945,47.9
0x50, 16:23:03.946,-0.4243,0.6343,1.0005,-381.7139,443.9697,-24.7803,39.0619,70.9662,179.9945,47.9
0x50, 16:23:03.946,-0.4351,0.5811,1.1636,-396.7896,472.168,-9.5825,43.5059,74.696,179.9945,47.9
0x50, 16:23:03.962,-0.4224,0.4126,1.356,-406.6162,498.291,23.8647,52.608,78.1458,179.9945,47.9
0x50, 16:23:03.963,-0.5205,0.314,1.7246,-405.3345,522.3999,68.3594,70.3125,80.7715,179.9945,47.9
0x50, 16:23:03.986,-0.7124,0.2222,2.2021,-392.0898,545.2271,111.5723,100.3217,81.5625,179.9945,47.89
0x50, 16:23:03.996,-0.7666,0.2021,2.7085,-368.3472,565.918,171.0205,132.1051,78.8654,179.9945,47.9
0x50, 16:23:03.997,-0.7363,0.1377,3.209,-332.9468,583.313,254.8828,142.0807,73.0591,179.9945,47.88
0x50, 16:23:04.068,-0.9116,0.0713,3.8159,-281.4941,600.0977,329.2847,142.8442,66.3025,179.9945,47.88
0x50, 16:23:04.068,-1.0811,-0.1221,4.5435,-214.8438,609.6802,372.4365,142.3224,59.1943,179.9945,47.88
0x50, 16:23:04.069,-1.3193,-0.4009,5.4009,-134.6436,605.835,409.3628,141.7511,51.8994,179.9945,47.89
0x50, 16:23:04.073,-1.6411,-0.7993,6.4639,-39.978,583.374,469.7876,141.2512,44.4067,179.9945,47.88
