address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 11:50:29.776,-1.2437,0.5664,0.1045,4.1504,-2.2583,-3.9063,51.0974,37.7490,4.5374,42.57 
0x50, 11:50:29.776,-1.2168,0.5591,0.1025,4.4556,-1.8921,-2.5024,51.4050,38.0292,4.4989,42.58 
0x50, 11:50:29.779,-1.2085,0.5449,0.0947,4.7607,-1.3428,0.4883,51.7346,38.2874,4.4879,42.59 
0x50, 11:50:29.794,-1.2065,0.5313,0.0884,5.1270,-0.7324,3.0518,52.0807,38.5400,4.5044,42.59 
0x50, 11:50:29.853,-1.1992,0.5176,0.0801,5.4932,0.0000,3.2349,52.4432,38.7927,4.5319,42.60 
0x50, 11:50:29.853,-1.1968,0.5083,0.0752,5.8594,0.6714,0.4883,52.8003,39.0729,4.5374,42.59 
0x50, 11:50:29.853,-1.2056,0.5039,0.0610,6.1646,1.4648,-4.6387,53.1519,39.3970,4.5209,42.59 
0x50, 11:50:29.853,-1.2188,0.5073,0.0542,6.1646,2.0752,-10.5591,53.4814,39.7760,4.4604,42.59 
0x50, 11:50:29.853,-1.2402,0.5107,0.0342,6.0425,2.4414,-15.4419,53.8110,40.1880,4.3671,42.60 
0x50, 11:50:29.853,-1.2729,0.5195,0.0171,5.3711,2.6855,-17.3950,54.1351,40.6219,4.2572,42.59 
0x50, 11:50:29.872,-1.2983,0.5381,-0.0024,4.3335,2.6855,-15.9912,54.4812,41.0339,4.1638,42.59 
0x50, 11:50:29.872,-1.3145,0.5508,-0.0259,2.8076,2.5635,-11.4136,54.8492,41.4020,4.1034,42.60 
0x50, 11:50:29.897,-1.3198,0.5591,-0.0532,0.9766,2.3804,-5.3711,55.2557,41.7151,4.0869,42.60 
0x50, 11:50:29.898,-1.3413,0.5654,-0.0771,-1.2207,2.9907,-0.4272,55.6897,41.9897,4.1199,42.60 
0x50, 11:50:29.919,-1.3613,0.5854,-0.0991,-3.6011,3.7842,0.9155,56.1237,42.2479,4.1693,42.60 
0x50, 11:50:29.919,-1.3691,0.5894,-0.1343,-5.7373,5.0659,-2.4414,56.5631,42.5336,4.2078,42.61 
0x50, 11:50:29.964,-1.3745,0.5850,-0.1699,-8.1177,7.2021,-8.7891,56.4917,42.6489,4.2188,42.61 
0x50, 11:50:29.967,-1.3872,0.6040,-0.2100,-10.7422,10.0708,-15.0757,56.3818,42.8302,4.2242,42.60 
0x50, 11:50:30.017,-1.3735,0.6201,-0.2500,-13.6108,12.8784,-18.6157,56.2500,43.0554,4.2297,42.59 
0x50, 11:50:30.017,-1.3872,0.6323,-0.2827,-16.7236,16.2354,-19.5313,56.1072,43.3081,4.2627,42.59 
0x50, 11:50:30.017,-1.3960,0.6558,-0.3315,-20.5078,19.8975,-19.7144,55.9534,43.5828,4.3396,42.60 
0x50, 11:50:30.017,-1.3999,0.6880,-0.3501,-24.8413,24.0479,-19.5923,55.7941,43.8794,4.4659,42.59 
0x50, 11:50:30.017,-1.3960,0.7310,-0.3857,-29.6021,27.8320,-18.2495,55.6183,44.1870,4.6417,42.60 
0x50, 11:50:30.017,-1.4136,0.7544,-0.4004,-34.9731,32.0435,-15.3198,55.4425,44.4946,4.8889,42.59 
0x50, 11:50:30.021,-1.3955,0.7510,-0.4170,-40.9546,36.0718,-10.3149,55.2667,44.7803,5.2240,42.59 
0x50, 11:50:30.024,-1.3691,0.7388,-0.4556,-47.1802,40.4053,-3.1128,55.1074,45.0385,5.6635,42.61 
0x50, 11:50:30.027,-1.3760,0.7222,-0.4771,-54.0161,45.8984,2.7466,54.9591,45.2802,6.2238,42.61 
0x50, 11:50:30.034,-1.3906,0.7451,-0.5063,-60.7910,52.3071,2.8687,54.7998,45.5548,6.8555,42.61 
0x50, 11:50:30.046,-1.3740,0.7466,-0.5288,-68.6035,59.6924,-1.4038,54.6021,45.9119,7.5366,42.61 
0x50, 11:50:30.049,-1.3804,0.7539,-0.5532,-77.5757,68.4814,-3.9673,54.3823,46.3403,8.3057,42.61 
0x50, 11:50:30.069,-1.3726,0.7744,-0.5981,-87.9517,78.9795,-1.5869,54.1681,46.8127,9.2230,42.60 
0x50, 11:50:30.072,-1.3643,0.7905,-0.6274,-101.7456,92.5903,7.3242,53.9923,47.2961,10.3821,42.59 
0x50, 11:50:30.095,-1.3384,0.8135,-0.6152,-117.8589,108.9478,22.5830,53.9154,47.7521,11.8817,42.60 
0x50, 11:50:30.097,-1.2710,0.8154,-0.6035,-135.4980,128.2959,39.4897,53.9539,48.1915,13.7659,42.60 
0x50, 11:50:30.099,-1.1924,0.7930,-0.5928,-154.7241,152.0386,51.0864,54.1187,48.6694,16.0620,42.61 
0x50, 11:50:30.119,-1.1064,0.7681,-0.5791,-175.4761,180.2368,52.9785,54.3768,49.2957,18.7427,42.62 
0x50, 11:50:30.122,-1.0347,0.7427,-0.5542,-197.4487,211.7920,44.9219,54.7119,50.1691,21.7859,42.62 
0x50, 11:50:30.147,-1.0049,0.7241,-0.4966,-220.2759,245.6055,30.5176,55.1239,51.3336,25.1917,42.62 
