address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:24:02.817,-0.9258,0.6421,0.8071,-21.3623,8.3008,13.5498,-74.9597,-32.5195,179.9945,48.35
0x50, 16:24:02.841,-0.9355,0.6055,0.7988,-24.4141,13.855,10.1929,-75.1355,-32.3877,179.9945,48.35
0x50, 16:24:02.853,-0.9478,0.5708,0.79,-24.7803,18.3716,5.9814,-75.2838,-32.2833,179.9945,48.35
0x50, 16:24:02.854,-0.9644,0.5386,0.7944,-22.7051,21.6064,0.7935,-75.3772,-32.2174,179.9945,48.35
0x50, 16:24:02.855,-0.9854,0.5283,0.7935,-18.3105,23.1934,-3.7842,-75.4156,-32.1954,179.9945,48.36
0x50, 16:24:02.855,-1.0161,0.5264,0.7998,-12.3901,23.1323,-6.2256,-75.3882,-32.2009,179.9945,48.35
0x50, 16:24:02.856,-1.043,0.5317,0.8145,-5.7983,21.6064,-6.2866,-75.3003,-32.2064,179.9945,48.35
0x50, 16:24:02.867,-1.0547,0.5508,0.8291,0.7935,18.6768,-4.8218,-75.174,-32.2064,179.9945,48.35
0x50, 16:24:02.885,-1.0645,0.5806,0.8525,6.7749,15.0146,-3.3569,-75.0092,-32.1954,179.9945,48.35
0x50, 16:24:02.896,-1.0601,0.6187,0.8647,11.8408,10.8643,-2.9907,-74.8169,-32.2009,179.9945,48.34
0x50, 16:24:02.897,-1.0552,0.6338,0.8799,14.5874,6.958,-3.0518,-74.6246,-32.2119,179.9945,48.34
0x50, 16:24:02.913,-1.0552,0.6338,0.8799,14.5874,6.958,-3.0518,-74.4324,-32.2229,179.9945,48.34
0x50, 16:24:02.915,-1.0371,0.6636,0.8945,15.686,3.479,-2.3804,-74.2511,-32.2339,179.9945,48.33
0x50, 16:24:02.936,-1.0083,0.6792,0.9009,14.5264,0.8545,-0.7324,-74.0973,-32.2394,179.9945,48.33
0x50, 16:24:02.936,-0.98,0.6885,0.9097,11.3525,-0.3662,0.9766,-73.9874,-32.2284,179.9945,48.35
0x50, 16:24:02.960,-0.96,0.6899,0.917,6.6528,-0.5493,2.4414,-73.9325,-32.2064,179.9945,48.34
0x50, 16:24:02.961,-0.9399,0.6675,0.916,1.0986,0.2441,3.7231,-73.927,-32.1735,179.9945,48.35
0x50, 16:24:02.972,-0.9268,0.6362,0.9102,-4.6997,1.8921,3.8452,-73.9655,-32.1295,179.9945,48.35
0x50, 16:24:02.986,-0.9229,0.603,0.8926,-9.9487,3.7231,2.8076,-74.0479,-32.0911,179.9945,48.34
0x50, 16:24:02.996,-0.9531,0.5737,0.8677,-14.2212,5.8594,2.0142,-74.1577,-32.0581,179.9945,48.35
0x50, 16:24:02.997,-1.0054,0.5439,0.8481,-17.334,7.3853,2.5635,-74.2896,-32.0142,179.9945,48.37
0x50, 16:24:03.054,-1.0498,0.5352,0.8179,-18.9209,8.1177,4.6997,-74.4379,-31.9482,179.9945,48.37
0x50, 16:24:03.055,-1.0835,0.5244,0.8091,-19.4702,8.1787,7.5073,-74.5972,-31.8494,179.9945,48.36
0x50, 16:24:03.055,-1.0854,0.5391,0.8062,-18.4937,7.6904,7.8735,-74.751,-31.756,179.9945,48.36
0x50, 16:24:03.056,-1.0815,0.5649,0.8091,-16.7847,7.5073,4.5776,-74.8828,-31.6901,179.9945,48.36
0x50, 16:24:03.056,-1.0513,0.5913,0.8188,-14.4043,7.3242,0.7324,-74.9817,-31.6626,179.9945,48.36
0x50, 16:24:03.068,-1.0229,0.627,0.8306,-11.9019,7.4463,-0.5493,-75.0586,-31.6516,179.9945,48.33
0x50, 16:24:03.068,-0.9883,0.6587,0.8345,-9.7656,8.3008,0.8545,-75.108,-31.6187,179.9945,48.33
0x50, 16:24:03.086,-0.957,0.6675,0.8452,-8.4839,9.7046,3.7231,-75.141,-31.5582,179.9945,48.34
0x50, 16:24:03.089,-0.9355,0.6895,0.8501,-7.3242,11.7188,5.3101,-75.152,-31.4813,179.9945,48.35
0x50, 16:24:03.100,-0.9268,0.6909,0.8384,-6.8359,14.5874,2.5635,-75.1355,-31.4154,179.9945,48.35
0x50, 16:24:03.111,-0.9033,0.6968,0.812,-6.958,17.8833,-3.2959,-75.097,-31.4044,179.9945,48.35
0x50, 16:24:03.122,-0.8682,0.7139,0.7671,-7.6294,21.4844,-8.3008,-75.0311,-31.4264,179.9945,48.33
0x50, 16:24:03.177,-0.8408,0.7163,0.7246,-9.2163,25.3906,-10.8643,-74.9597,-31.4648,179.9945,48.33
