address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:24:30.348,-0.9028,0.6465,0.8525,-2.1362,3.6621,-3.6011,14.4141,32.4646,179.9945,48.66
0x50, 16:24:30.360,-0.8877,0.624,0.8569,-2.6245,2.8076,-0.3052,14.6063,32.569,179.9945,48.67
0x50, 16:24:30.366,-0.8887,0.6167,0.8521,-2.4414,2.3804,0,14.7986,32.6678,179.9945,48.67
0x50, 16:24:30.396,-0.8833,0.6069,0.8477,-1.8311,1.8921,-2.9297,14.9744,32.7722,179.9945,48.66
0x50, 16:24:30.450,-0.8896,0.6084,0.8438,-0.8545,1.5259,-5.7373,15.1392,32.8766,179.9945,48.67
0x50, 16:24:30.451,-0.8848,0.6157,0.8394,0,1.1597,-5.7373,15.3204,32.9755,179.9945,48.67
0x50, 16:24:30.451,-0.8867,0.627,0.8447,0.5493,0.8545,-3.6621,15.5127,33.0688,179.9945,48.67
0x50, 16:24:30.451,-0.8818,0.6377,0.8408,1.4038,0.6104,-1.8921,15.7324,33.1458,179.9945,48.66
0x50, 16:24:30.452,-0.8794,0.647,0.8242,2.0752,0.6714,-2.4414,15.9631,33.2281,179.9945,48.66
0x50, 16:24:30.461,-0.8892,0.6499,0.8062,2.8076,1.0376,-4.2725,16.1993,33.3215,179.9945,48.67
0x50, 16:24:30.461,-0.8799,0.6597,0.7632,3.2959,1.3428,-3.9063,16.452,33.4259,179.9945,48.67
0x50, 16:24:30.472,-0.8804,0.6665,0.7251,2.8076,2.6245,-0.4883,16.7432,33.5358,179.9945,48.66
0x50, 16:24:30.473,-0.8701,0.6733,0.6938,2.4414,4.2114,2.7466,17.0673,33.6511,179.9945,48.66
0x50, 16:24:30.474,-0.8608,0.6685,0.6382,1.8921,6.5308,2.6245,17.4078,33.7994,179.9945,48.65
0x50, 16:24:30.485,-0.855,0.6704,0.5366,0.7324,10.5591,-0.6104,17.7704,34.0137,179.9945,48.66
0x50, 16:24:30.496,-0.8818,0.6919,0.437,-2.4414,16.1743,-2.9907,18.1604,34.3048,179.9945,48.67
0x50, 16:24:30.511,-0.8921,0.7256,0.3325,-6.2256,22.7051,-1.3428,18.6108,34.6619,179.9945,48.68
0x50, 16:24:30.522,-0.8755,0.7471,0.1431,-10.9253,30.8838,2.0142,19.1876,35.0903,179.9945,48.66
