address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50, 10:56:09.311,-1.0386,0.5854,0.8003,-7.2021,5.4321,2.6245,33.3545,35.6232,179.9945,47.03 
0x50, 10:56:09.311,-1.0444,0.5840,0.8003,-7.2632,5.1270,4.0894,33.3215,35.6451,179.9945,47.03 
0x50, 10:56:09.315,-1.0449,0.5820,0.7983,-7.1411,4.7607,3.8452,33.2941,35.6616,179.9945,47.02 
0x50, 10:56:09.326,-1.0439,0.5781,0.7988,-7.0190,4.4556,2.4414,33.2556,35.6836,179.9945,47.02 
0x50, 10:56:09.351,-1.0376,0.5786,0.7988,-6.7139,4.2114,-0.3662,33.2062,35.7220,179.9945,47.02 
0x50, 10:56:09.354,-1.0288,0.5845,0.7915,-6.4087,4.1504,-3.6011,33.1348,35.7770,179.9945,47.02 
0x50, 10:56:09.356,-1.0195,0.6035,0.7969,-6.1035,4.3945,-4.8218,33.0634,35.8429,179.9945,47.02 
0x50, 10:56:09.379,-0.9980,0.6089,0.8057,-6.1646,4.6997,-1.8921,33.0469,35.9802,179.9945,47.03 
0x50, 10:56:09.382,-0.9717,0.6099,0.8057,-6.3477,5.1880,2.9907,33.0634,36.0846,179.9945,47.02 
0x50, 10:56:09.382,-0.9487,0.6123,0.8008,-6.4087,6.2866,4.6387,33.0963,36.1835,179.9945,47.03 
0x50, 10:56:09.402,-0.9331,0.6221,0.8022,-6.4697,7.8125,0.6104,33.1128,36.3098,179.9945,47.03 
0x50, 10:56:09.404,-0.9224,0.6279,0.7886,-6.7139,9.2163,-6.5308,33.0963,36.4801,179.9945,47.03 
0x50, 10:56:09.429,-0.9248,0.6465,0.7744,-6.8359,10.5591,-12.8174,33.0634,36.6998,179.9945,47.02 
0x50, 10:56:09.429,-0.9209,0.6309,0.7358,-7.0190,11.5967,-15.6250,33.0194,36.9470,179.9945,47.03 
0x50, 10:56:09.484,-0.9023,0.6147,0.6733,-6.9580,11.6577,-15.8691,32.9919,37.2107,179.9945,47.04 
0x50, 10:56:09.484,-0.8706,0.6118,0.5674,-6.6528,12.0850,-17.0288,33.0084,37.4908,179.9945,47.03 
0x50, 10:56:09.484,-0.8403,0.6055,0.4731,-6.8970,13.4277,-21.3013,33.0524,37.8204,179.9945,47.03 
0x50, 10:56:09.484,-0.7612,0.6294,0.3779,-7.2021,14.5874,-27.3438,33.1238,38.1665,179.9945,47.03 
