StartTime: 2020-08-09 16:15:30.520,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:23:30.758,-0.7417,0.627,0.8188,-7.8125,9.3384,1.2207,41.1713,34.9475,179.9945,48.2
0x50, 16:23:30.758,-0.7588,0.6304,0.8232,-7.019,10.8643,-0.9155,41.1108,35.0464,179.9945,48.21
0x50, 16:23:30.758,-0.7783,0.6445,0.8252,-5.6763,11.4136,-3.2959,41.0559,35.1727,179.9945,48.21
0x50, 16:23:30.759,-0.8032,0.6528,0.8301,-4.0894,11.1694,-3.7842,41.0175,35.2991,179.9945,48.22
0x50, 16:23:30.761,-0.8232,0.6514,0.8228,-2.5024,10.0708,-1.77,41.0065,35.4144,179.9945,48.21
0x50, 16:23:30.764,-0.835,0.6484,0.8159,-0.8545,8.3618,0.7935,41.012,35.5078,179.9945,48.21
0x50, 16:23:30.786,-0.8379,0.645,0.8203,0.9155,6.4087,2.1973,41.0339,35.5737,179.9945,48.2
0x50, 16:23:30.797,-0.8281,0.6411,0.8262,2.6855,4.4556,2.3804,41.0614,35.6177,179.9945,48.21
0x50, 16:23:30.810,-0.8096,0.6436,0.833,3.9673,2.8076,2.5635,41.0944,35.6396,179.9945,48.21
0x50, 16:23:30.822,-0.7886,0.6475,0.8438,4.7607,1.77,3.479,41.1328,35.6396,179.9945,48.21
0x50, 16:23:30.822,-0.7646,0.6377,0.854,4.8218,1.2817,4.6387,41.1658,35.6232,179.9945,48.21
0x50, 16:23:30.853,-0.752,0.6299,0.8574,4.6387,1.2817,4.6997,41.1987,35.5957,179.9945,48.21
0x50, 16:23:30.864,-0.7549,0.6284,0.8604,3.9673,1.8311,2.8687,41.2097,35.5902,179.9945,48.2
0x50, 16:23:30.875,-0.7637,0.6313,0.855,3.2349,2.5024,0.3052,41.2042,35.6067,179.9945,48.21
0x50, 16:23:30.876,-0.7725,0.6304,0.8438,2.2583,2.8687,-1.1597,41.1932,35.6396,179.9945,48.21
0x50, 16:23:30.877,-0.7925,0.6382,0.8379,1.3428,3.2349,-1.6479,41.1713,35.6891,179.9945,48.21
0x50, 16:23:30.933,-0.7998,0.6416,0.834,0.4883,2.9907,-1.8311,41.1438,35.7385,179.9945,48.21
0x50, 16:23:30.933,-0.8057,0.6426,0.8384,-0.3052,2.5024,-1.2207,41.1108,35.7825,179.9945,48.2
0x50, 16:23:30.934,-0.8057,0.6343,0.8418,-0.7935,1.5869,0.4883,41.0724,35.8044,179.9945,48.2
0x50, 16:23:30.934,-0.8071,0.6289,0.8389,-0.9766,0.6104,2.3804,41.0339,35.8154,179.9945,48.2
0x50, 16:23:30.935,-0.8057,0.6245,0.835,-1.0376,-0.3052,3.6621,41.001,35.8044,179.9945,48.2
0x50, 16:23:30.950,-0.7847,0.625,0.8306,-0.8545,-1.4648,4.0283,40.968,35.7825,179.9945,48.2
0x50, 16:23:30.951,-0.7734,0.6279,0.8311,-0.8545,-2.0142,3.479,40.9296,35.755,179.9945,48.22
0x50, 16:23:30.961,-0.7617,0.6323,0.8359,-0.7935,-2.3193,2.3193,40.8856,35.722,179.9945,48.21
0x50, 16:23:30.962,-0.7671,0.6323,0.8438,-0.8545,-2.3804,1.3428,40.8307,35.7001,179.9945,48.21
0x50, 16:23:30.973,-0.7666,0.6357,0.8423,-0.9155,-2.1973,0.6714,40.7758,35.6836,179.9945,48.22
0x50, 16:23:30.985,-0.7715,0.6343,0.8379,-1.0986,-1.709,0,40.7208,35.6726,179.9945,48.22
0x50, 16:23:30.996,-0.7788,0.6333,0.8252,-1.1597,-1.2817,0,40.6714,35.6781,179.9945,48.21
0x50, 16:23:31.010,-0.7856,0.6309,0.8086,-1.0986,-0.6714,1.1597,40.6384,35.6836,179.9945,48.22
0x50, 16:23:31.018,-0.7832,0.6294,0.7881,-1.1597,0,2.9907,40.6219,35.6836,179.9945,48.21
0x50, 16:23:31.018,-0.7607,0.6421,0.769,-1.1597,0.8545,4.5776,40.6329,35.6781,179.9945,48.21
0x50, 16:23:31.041,-0.7241,0.6587,0.751,-1.2207,2.4414,4.3335,40.6604,35.6671,179.9945,48.21
0x50, 16:23:31.042,-0.7241,0.6587,0.751,-1.2207,2.4414,4.3335,40.6879,35.6616,179.9945,48.21
0x50, 16:23:31.047,-0.6763,0.6694,0.7261,-1.6479,4.7607,2.0142,40.7263,35.6726,179.9945,48.22
0x50, 16:23:31.060,-0.6289,0.6855,0.6714,-2.1973,8.0566,-1.6479,40.7813,35.722,179.9945,48.22
0x50, 16:23:31.071,-0.6284,0.6807,0.6294,-3.2349,12.6343,-6.4087,40.8362,35.8429,179.9945,48.22
0x50, 16:23:31.086,-0.6113,0.6777,0.5439,-4.2114,17.334,-13.4277,40.9076,36.0516,179.9945,48.21
