StartTime: 2020-08-09 16:15:30.520,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:19:36.675,-0.8691,0.6528,0.8354,-17.5781,12.4512,9.7656,27.8284,-55.3052,8.5583,46.01
0x50, 16:19:36.675,-0.8462,0.6475,0.8228,-18.1274,14.8926,7.0801,27.4603,-55.2063,8.7891,46.01
0x50, 16:19:36.675,-0.8394,0.6436,0.8174,-18.9819,17.8833,2.2583,27.1198,-55.058,8.9703,46
0x50, 16:19:36.678,-0.8345,0.6523,0.8164,-19.6533,20.874,-3.0518,26.8286,-54.8602,9.0857,45.99
0x50, 16:19:36.730,-0.8242,0.6621,0.792,-20.1416,23.6816,-5.8594,26.5485,-54.6185,9.1791,46
0x50, 16:19:36.731,-0.8091,0.6577,0.7759,-20.9961,26.062,-5.6763,26.2463,-54.3604,9.2944,46
0x50, 16:19:36.731,-0.7954,0.6631,0.7681,-21.1792,28.3203,-5.0659,25.9222,-54.0857,9.4318,46
0x50, 16:19:36.732,-0.769,0.6519,0.7607,-20.9961,30.2734,-5.3711,25.5981,-53.7891,9.5746,46.01
0x50, 16:19:36.732,-0.7715,0.6465,0.7573,-20.3857,32.0435,-6.1646,25.2795,-53.476,9.7174,46
0x50, 16:19:36.733,-0.7729,0.6421,0.749,-19.165,33.0811,-8.4839,24.9994,-53.1409,9.8218,46
0x50, 16:19:36.746,-0.7813,0.6484,0.7266,-17.5171,33.7524,-14.0991,24.8071,-52.7728,9.8492,45.99
0x50, 16:19:36.777,-0.7739,0.6777,0.7041,-16.1743,34.2407,-22.7661,24.7247,-52.3663,9.7449,46
0x50, 16:19:36.790,-0.7715,0.7192,0.6938,-15.2588,34.729,-31.1279,24.7522,-51.9214,9.5197,46.01
0x50, 16:19:36.794,-0.7544,0.7573,0.6797,-15.0146,34.729,-35.1563,24.8236,-51.46,9.2395,46.01
0x50, 16:19:36.794,-0.7402,0.7817,0.6577,-15.8691,34.9121,-35.5225,24.884,-50.993,8.9539,46
0x50, 16:19:36.807,-0.7129,0.7935,0.6343,-17.395,35.7056,-36.6211,24.939,-50.5151,8.6682,46
0x50, 16:19:36.808,-0.6621,0.8159,0.583,-20.1416,37.0483,-41.5039,24.9994,-50.0043,8.3221,46
0x50, 16:19:36.824,-0.6489,0.8545,0.5688,-23.8647,39.917,-50.4761,25.1093,-49.4275,7.8717,46.01
0x50, 16:19:36.832,-0.5967,0.9258,0.5029,-27.8931,42.4194,-60.791,25.2631,-48.7848,7.3004,46.01
0x50, 16:19:36.832,-0.5967,0.9443,0.4624,-34.4849,46.3867,-67.688,25.3894,-48.0762,6.6742,46.01
0x50, 16:19:36.899,-0.6187,0.9556,0.4302,-41.5039,50.293,-69.8853,25.4388,-47.3236,6.0535,46.02
0x50, 16:19:36.900,-0.6377,0.957,0.3188,-48.9502,54.0771,-69.8853,25.3784,-46.5381,5.4602,46.01
0x50, 16:19:36.900,-0.7109,0.9268,0.2246,-58.3496,59.9976,-67.8101,25.1697,-45.7031,4.9438,46.01
0x50, 16:19:36.901,-0.7188,0.9565,0.083,-67.1387,65.3687,-62.3779,24.7961,-44.8462,4.5374,46.01
0x50, 16:19:36.939,-0.7793,0.9502,-0.0635,-78.9795,75.1343,-54.3213,24.1809,-43.9343,4.2847,46.01
0x50, 16:19:36.940,-0.8081,0.9253,-0.1621,-93.811,88.4399,-45.0439,23.291,-42.9456,4.2188,46
0x50, 16:19:36.953,-0.8032,0.9751,-0.2935,-109.5581,105.2856,-40.3442,22.1539,-41.8195,4.2792,46.01
0x50, 16:19:36.954,-0.8618,0.9946,-0.3506,-131.2256,131.7139,-44.2505,20.7642,-40.4297,4.3945,46.02
0x50, 16:19:36.955,-0.7529,1.0254,-0.3228,-158.4473,163.3911,-43.1519,19.0283,-38.7488,4.6252,46.02
0x50, 16:19:36.955,-0.5986,1.0059,-0.1899,-190.4907,202.4536,-27.3438,16.7981,-36.7493,5.1416,46
0x50, 16:19:36.956,-0.3374,0.8906,0.0264,-224.8535,248.5962,-13.3057,14.1119,-34.3268,5.8777,46.01
0x50, 16:19:36.956,-0.1045,0.7754,0.2754,-258.606,302.7344,-20.5078,11.1566,-31.344,6.5314,46.01
0x50, 16:19:36.980,0.0864,0.6763,0.5234,-291.748,360.1685,-48.8892,8.1079,-27.713,6.7896,46.01
0x50, 16:19:36.989,0.2017,0.5972,0.7847,-323.6084,416.3208,-82.2754,4.9878,-23.4778,6.5314,45.99
0x50, 16:19:36.989,0.248,0.5269,0.9902,-353.2104,468.0786,-107.4219,1.7468,-18.7207,5.8063,45.99
0x50, 16:19:36.997,0.1548,0.4883,1.2417,-378.7231,512.7563,-120.8496,-1.6809,-13.5571,4.6967,46
0x50, 16:19:37.024,0.0156,0.4302,1.4731,-396.6675,550.7813,-109.8633,-5.3448,-8.0859,3.4003,46
0x50, 16:19:37.032,-0.1475,0.3408,1.7222,-405.7007,580.2612,-66.3452,-9.2285,-2.3676,2.1863,46.01
0x50, 16:19:37.033,-0.3809,0.2842,2.0615,-400.8789,605.835,-1.8921,-13.1946,3.6035,1.1975,46.02
0x50, 16:19:37.033,-0.5522,0.0967,2.5322,-380.0659,628.54,79.2236,-17.0398,9.8987,0.5328,46.01
0x50, 16:19:37.074,-0.6172,-0.1729,3.291,-341.3696,646.6675,176.3916,-20.4895,16.6003,0.3186,46.01
0x50, 16:19:37.075,-0.8091,-0.2153,4.1714,-280.2124,660.7666,255.6152,-23.269,23.6865,0.4065,46
0x50, 16:19:37.075,-1.3408,-0.1997,5.5176,-201.2939,662.4756,306.2744,-25.1917,30.9814,0.6207,46.01
0x50, 16:19:37.083,-1.853,-0.1982,7.3242,-110.1685,642.0288,393.4326,-25.8014,38.4631,1.582,46.01
0x50, 16:19:37.083,-2.1821,-0.4497,9.6431,2.3804,591.8579,546.6919,-23.9117,46.1755,4.5813,46.01
0x50, 16:19:37.137,-2.6538,-1.8325,12.4209,143.4326,500.9155,666.4429,-18.2428,53.454,10.448,46.01
0x50, 16:19:37.144,-3.1118,-4.8145,14.7393,330.2612,355.6519,664.7949,-7.9266,58.9142,19.1766,46.01
0x50, 16:19:37.144,-3.856,-9.2544,15.4102,567.8711,158.4473,593.3228,7.1301,61.3037,30.1355,46
0x50, 16:19:37.150,-4.937,-13.9551,13.9146,844.5435,-101.3794,539.1846,25.1202,59.6283,41.0175,46.01
0x50, 16:19:37.151,-6.9146,-15.4536,10.2891,1157.7148,-433.1665,482.9712,41.0229,53.6517,46.0272,46.01
0x50, 16:19:37.151,-10.9004,-15.8477,4.7417,1491.4551,-828.3081,379.1504,52.4323,44.9176,41.6821,46.02
0x50, 16:19:37.158,-15.1465,-15.9517,-1.3091,1806.1523,-1281.311,309.8755,-94.6912,179.9945,30.0037,46.02
0x50, 16:19:37.174,15.6226,-15.8384,-6.2686,1995.4224,-1818.5425,408.5693,-111.5881,179.9945,179.9945,46.01
0x50, 16:19:37.181,15.2988,-10.3652,-10.9424,1849.7314,1997.6807,781.4941,-136.5491,179.9945,179.9945,46.01
0x50, 16:19:37.181,15.2139,-5.1362,-13.4468,1099.6704,1997.6807,1610.4126,-159.093,179.9945,179.9945,46.02
0x50, 16:19:37.224,-14.4448,-7.8662,-14.106,-500.1831,1997.6807,-1998.7183,-150.8533,179.9945,179.9945,46
0x50, 16:19:37.232,-7.5308,-13.8516,-14.2793,-1994.5068,1997.6807,-1998.7183,-135.8679,-44.5825,179.9945,45.99
0x50, 16:19:37.232,4.4932,-15.4263,-12.3608,-1994.5068,-605.1025,1887.085,-146.618,-27.0978,179.9945,45.99
0x50, 16:19:37.233,-0.9873,-15.4663,-0.7627,-1994.5068,136.1084,162.1094,-165.4871,-27.3395,179.9945,46
0x50, 16:19:37.249,0.6221,-15.2256,3.1118,-1532.8979,137.207,-329.4678,177.7148,-29.4983,179.9945,46.01
0x50, 16:19:37.253,-3.8711,-13.376,7.9399,-1016.6016,288.0859,-234.9243,166.1572,-32.2833,179.9945,46
0x50, 16:19:37.274,0.1631,-10.5566,7.8325,-481.9946,238.1592,-239.563,159.505,-34.0192,179.9945,46
0x50, 16:19:37.274,-3.8335,-7.8774,7.1479,-70.9839,364.3188,-362.6099,-47.7795,-36.1615,179.9945,46.01
0x50, 16:19:37.288,-1.772,-5.7949,5.9429,195.9229,350.2197,-422.4243,-41.8469,-36.936,179.9945,46.02
0x50, 16:19:37.289,-5.0288,-3.5298,6.7627,330.4443,433.96,-385.376,-34.2059,-36.2769,179.9945,46
0x50, 16:19:37.303,-2.9824,-1.6816,6.5293,370.3003,414.6118,-437.7441,-26.1365,-35.3101,179.9945,46
0x50, 16:19:37.306,-4.6362,-0.3721,6.3755,321.7163,437.8662,-522.644,-18.2263,-33.6786,179.9945,46
0x50, 16:19:37.354,-4.1123,-0.0571,5.9272,209.1675,381.0425,-594.1772,-11.5796,-31.9208,179.9945,46
0x50, 16:19:37.355,-5.6948,0.2041,5.6191,85.022,328.2471,-613.4644,-6.5753,-29.9377,179.9945,46.02
0x50, 16:19:37.355,-5.2231,-0.2065,5.1445,-43.2739,197.876,-500.4883,-4.0155,-28.5425,179.9945,46.02
0x50, 16:19:37.356,-5.2334,-0.6187,4.7236,-140.0146,69.1528,-275.8789,-3.8947,-28.0481,179.9945,46
0x50, 16:19:37.356,-3.7061,-1.2251,4.2461,-209.4116,-60.6079,-68.6035,-5.6415,-28.6963,179.9945,46
0x50, 16:19:37.374,-3.0493,-1.4243,4.0122,-249.2676,-148.1323,28.5645,-8.3716,-30.1465,179.9945,46.01
0x50, 16:19:37.388,-2.2651,-1.2554,3.9229,-271.7285,-213.8062,42.9077,-11.5137,-32.1954,179.9945,46
0x50, 16:19:37.389,-2.0527,-0.8848,3.8398,-285.4614,-254.8218,48.1567,-14.9908,-34.5959,179.9945,46
0x50, 16:19:37.402,-1.7129,-0.6729,3.7065,-295.2271,-280.7007,65.4297,-18.88,-37.1393,179.9945,46
0x50, 16:19:37.403,-1.5034,-0.6016,3.5425,-295.0439,-285.8276,72.0215,-23.0438,-39.6112,179.9945,46
0x50, 16:19:37.424,-1.2505,-0.6465,3.3662,-288.7573,-277.771,67.5659,-27.345,-41.9019,179.9945,46
0x50, 16:19:37.433,-1.0415,-0.8667,3.1309,-274.0479,-261.1694,68.4204,-31.712,-43.9069,179.9945,46.01
0x50, 16:19:37.458,-0.8604,-0.9102,2.9609,-248.7183,-236.0229,78.7354,-36.0352,-45.4999,179.9945,46.02
0x50, 16:19:37.458,-0.5825,-1.1377,2.9434,-221.8018,-207.6416,82.7026,-40.177,-46.6974,179.9945,46
0x50, 16:19:37.458,-0.4956,-0.9399,3.0034,-186.5234,-173.7061,76.0498,-43.8464,-47.5323,179.9945,46
0x50, 16:19:37.474,-0.2993,-1.0464,3.0352,-153.8696,-137.8174,56.3354,-46.8732,-48.1366,179.9945,46.01
0x50, 16:19:37.534,-0.3618,-0.8608,3.0054,-116.4551,-101.5625,20.0806,-49.021,-48.6804,179.9945,46.01
0x50, 16:19:37.534,-0.3315,-0.9263,3.0161,-88.9282,-68.1152,-25.2686,-50.3064,-49.3176,179.9945,46.01
0x50, 16:19:37.535,-0.4741,-0.7515,2.9507,-60.8521,-36.9873,-59.2041,-50.8063,-50.0098,179.9945,46.02
0x50, 16:19:37.536,-0.6147,-0.7422,2.8491,-43.335,-10.3149,-73.9136,-50.7788,-50.6525,179.9945,46.01
0x50, 16:19:37.537,-0.9141,-0.7134,2.7813,-31.9824,10.0098,-75.1343,-50.4218,-51.1688,179.9945,46.01
