StartTime: 2020-08-09 16:15:30.520,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(Â°) 
0x50, 16:22:37.187,-0.9214,0.73,0.8794,-2.5635,3.54,0.3662,35.777,34.931,179.9945,47.57
0x50, 16:22:37.189,-0.9111,0.7231,0.877,-3.54,3.2349,2.6245,35.8044,34.9805,179.9945,47.57
0x50, 16:22:37.189,-0.9063,0.7075,0.8662,-4.4556,3.1738,5.127,35.8374,35.0189,179.9945,47.58
0x50, 16:22:37.223,-0.8955,0.6909,0.8628,-5.249,3.3569,6.6528,35.8649,35.0464,179.9945,47.58
0x50, 16:22:37.224,-0.8711,0.6758,0.8599,-5.6763,3.7231,6.2256,35.8813,35.0739,179.9945,47.57
0x50, 16:22:37.224,-0.8496,0.6689,0.8511,-5.6152,4.3335,4.3335,35.8923,35.1178,179.9945,47.57
0x50, 16:22:37.224,-0.8164,0.6699,0.8247,-5.3711,5.249,1.2207,35.8978,35.1727,179.9945,47.56
0x50, 16:22:37.231,-0.7852,0.6782,0.7798,-5.4321,6.8359,-2.5024,35.9088,35.2661,179.9945,47.56
0x50, 16:22:37.237,-0.7373,0.7017,0.7461,-5.9204,8.8501,-5.7373,35.9253,35.376,179.9945,47.58
0x50, 16:22:37.263,-0.689,0.7295,0.6929,-6.5918,11.2305,-8.3618,35.9692,35.5023,179.9945,47.58
0x50, 16:22:37.270,-0.6655,0.749,0.6143,-7.3242,14.1602,-12.6343,36.0297,35.6781,179.9945,47.59
0x50, 16:22:37.271,-0.6504,0.7607,0.499,-8.1787,17.2729,-20.6909,36.1066,35.9363,179.9945,47.58
0x50, 16:22:37.271,-0.6567,0.7554,0.354,-9.2773,20.3857,-31.3721,36.2054,36.3043,179.9945,47.57
0x50, 16:22:37.285,-0.686,0.7544,0.1812,-11.2915,23.7427,-41.748,36.3538,36.7932,179.9945,47.58
0x50, 16:22:37.310,-0.6836,0.7959,-0.0747,-15.7471,27.8931,-50.7813,36.6064,37.348,179.9945,47.57
0x50, 16:22:37.321,-0.7427,0.9067,-0.3481,-26.8555,36.5601,-56.9458,36.9086,37.9742,179.9945,47.57
0x50, 16:22:37.322,-0.7778,1.0386,-0.5015,-44.9219,49.0723,-54.6875,37.1393,38.6499,179.9945,47.57
0x50, 16:22:37.333,-0.7173,1.2021,-0.8174,-72.3877,65.918,-45.8374,36.4417,39.4519,179.9945,47.58
0x50, 16:22:37.344,-0.8027,1.2598,-0.9692,-114.7461,95.8862,-44.6777,35.4694,40.4901,179.9945,47.57
0x50, 16:22:37.360,-0.8276,1.311,-0.9741,-166.9922,134.5215,-55.9692,34.0741,41.9073,179.9945,47.58
0x50, 16:22:37.366,-0.7383,1.2778,-0.9893,-225.8911,179.0161,-62.9883,32.2504,43.7476,179.9945,47.58
0x50, 16:22:37.367,-0.6504,1.1611,-1.0352,-289.5508,231.8115,-54.7485,30.0916,45.9998,179.9945,47.59
0x50, 16:22:37.443,-0.4414,0.9019,-0.9531,-354.3701,289.917,-40.2832,27.6965,48.7079,179.9945,47.58
0x50, 16:22:37.443,-0.0825,0.5991,-0.7637,-411.9873,352.7832,-31.5552,25.1257,51.9763,179.9945,47.58
